total_claim_amount,incident_severity,age,comments
71610,0,48,This is a sample comment.
5070,1,42,Another example of text data.
34650,1,18,
63400,0,41,Validating text fields with GPT-4.
6500,1,44,Check language consistency.
64100,0,39,This is a sample comment.
78650,1,34,Another example of text data.
51590,2,37,
27700,2,33,Validating text fields with GPT-4.
42300,2,42,Check language consistency.
87010,2,42,This is a sample comment.
114920,0,61,Another example of text data.
56520,2,23,
7280,1,34,Validating text fields with GPT-4.
46200,2,38,Check language consistency.
63120,0,58,This is a sample comment.
52110,0,26,Another example of text data.
77880,2,31,
72930,2,37,Validating text fields with GPT-4.
60400,0,39,Check language consistency.
47160,1,62,This is a sample comment.
37840,2,41,Another example of text data.
71520,0,55,
98160,2,55,Validating text fields with GPT-4.
77880,1,40,Check language consistency.
71500,0,35,This is a sample comment.
9020,1,43,Another example of text data.
5720,1,34,
69840,1,40,Validating text fields with GPT-4.
91650,1,45,Check language consistency.
75600,0,25,This is a sample comment.
67140,0,37,Another example of text data.
29790,2,35,
77110,0,30,Validating text fields with GPT-4.
64800,2,37,Check language consistency.
53100,0,33,This is a sample comment.
60200,2,28,Another example of text data.
5330,1,49,
62300,0,54,Validating text fields with GPT-4.
60170,0,37,Check language consistency.
40000,1,26,This is a sample comment.
97080,0,34,Another example of text data.
51660,1,23,
51120,2,30,Validating text fields with GPT-4.
56400,1,44,Check language consistency.
55120,2,40,This is a sample comment.
77110,2,33,Another example of text data.
62800,0,47,
7290,3,34,Validating text fields with GPT-4.
76600,2,35,Check language consistency.
81800,1,59,This is a sample comment.
7260,3,27,Another example of text data.
4300,1,39,
70510,0,40,Validating text fields with GPT-4.
2640,1,39,Check language consistency.
78900,1,26,This is a sample comment.
56430,0,56,Another example of text data.
2400,1,32,
65790,2,39,Validating text fields with GPT-4.
62920,1,36,Check language consistency.
69480,0,34,This is a sample comment.
44280,2,44,Another example of text data.
56300,1,32,
68520,0,42,Validating text fields with GPT-4.
59130,2,42,Check language consistency.
82320,1,39,This is a sample comment.
89700,1,31,Another example of text data.
33930,1,64,
68530,0,30,Validating text fields with GPT-4.
4300,1,49,Check language consistency.
68310,0,42,This is a sample comment.
61290,2,41,Another example of text data.
30100,1,41,
57120,1,37,Validating text fields with GPT-4.
42930,1,40,Check language consistency.
51210,2,35,This is a sample comment.
89400,1,45,Another example of text data.
59730,2,47,
8060,1,39,Validating text fields with GPT-4.
72200,0,38,Check language consistency.
50800,1,31,This is a sample comment.
6600,3,40,Another example of text data.
7500,1,29,
6490,3,35,Validating text fields with GPT-4.
60940,0,48,Check language consistency.
58300,0,41,This is a sample comment.
68400,1,34,Another example of text data.
64240,2,32,
4700,3,36,Validating text fields with GPT-4.
45120,0,25,Check language consistency.
66950,2,29,This is a sample comment.
98340,0,23,Another example of text data.
5900,3,42,
70680,0,43,Validating text fields with GPT-4.
93720,2,42,Check language consistency.
6930,1,25,This is a sample comment.
