age,months_as_customer,policy_annual_premium,comments
36,292,1265.35,NaN
52,89,1637.82,NaN
28,213,1188.77,NaN
41,159,1368.48,NaN
54,434,1915.90,NaN
22,82,1039.01,NaN
48,340,1729.82,NaN
34,268,1294.83,NaN
27,333,1228.14,NaN
59,371,1990.62,NaN
45,382,1772.31,NaN
29,98,978.04,This is a sample comment.
42,365,1666.35,NaN
50,407,1891.07,NaN
25,187,1106.23,NaN
40,310,1603.91,NaN
53,446,1952.81,NaN
26,133,1073.73,NaN
49,453,1853.02,NaN
33,260,1268.33,NaN
21,43,963.15,NaN
55,388,1963.42,NaN
35,322,1475.00,NaN
20,17,909.61,NaN
51,166,1304.40,NaN
46,200,1559.80,NaN
37,126,1150.98,NaN
43,464,1793.43,NaN
56,95,1380.06,NaN
23,316,1048.91,NaN
38,379,1642.56,NaN
57,80,1410.29,NaN
47,193,1472.96,This is a sample comment.
31,140,1211.60,NaN
44,395,1742.52,NaN
60,440,2027.01,NaN
24,415,1024.64,This is a sample comment.
32,468,1392.87,NaN
58,428,2007.39,NaN
41,119,1180.15,NaN
27,34,985.37,NaN
42,37,1090.32,This is a sample comment.
53,40,1274.41,NaN
28,224,1083.64,NaN
34,62,1098.70,NaN
55,444,1949.44,NaN
22,257,992.66,NaN
43,172,1370.25,NaN
54,341,1866.03,NaN
29,19,977.80,NaN
40,299,1401.95,This is a sample comment.
51,93,1470.43,NaN
26,134,1068.01,NaN
47,153,1456.06,NaN
58,259,1983.67,NaN
23,328,1044.97,NaN
39,179,1306.93,This is a sample comment.
50,305,1737.21,NaN
25,14,903.82,NaN
46,243,1479.45,NaN
57,101,1469.47,NaN
21,435,986.08,NaN
42,41,1117.52,NaN
53,429,1909.09,NaN
37,438,1584.89,NaN
48,16,1023.96,NaN
59,238,1976.90,NaN
49,137,1521.67,NaN
35,188,1357.05,This is a sample comment.
46,75,1355.00,NaN
56,394,1989.36,NaN
32,345,1388.90,NaN
43,337,1643.06,NaN
54,209,1905.84,NaN
38,216,1494.54,NaN
49,148,1547.49,NaN
60,24,1256.40,NaN
36,457,1549.20,NaN
47,206,1561.67,NaN
33,111,1231.60,NaN
44,408,1761.83,NaN
55,291,1961.59,NaN
30,15,976.07,NaN
41,142,1181.63,NaN
52,245,1677.11,NaN
28,13,971.39,NaN
45,4,1113.73,NaN
56,145,1392.77,NaN
31,327,1205.39,NaN
42,338,1663.59,NaN
53,344,1907.16,NaN
27,191,1109.32,NaN
